width_um,frequency_THz,frequency_Hz,lambda_um,beta_rad_per_um,n_eff_from_beta
0.4,187.37028625,187370286250000.0,1.6,5.752971195970117,1.4649820852862994
0.4,187.38279010627292,187382790106272.9,1.5998932336847729,5.753386863434675,1.464990170361834
0.4,187.39529396254588,187395293962545.88,1.599786481617402,5.753802544387052,1.4649982577926097
0.4,187.4077978188188,187407797818818.8,1.5996797437950363,5.754218238837876,1.4650063475808617
0.4,187.42030167509176,187420301675091.75,1.5995730202148244,5.754633946797785,1.4650144397288254
0.4,187.4328055313647,187432805531364.7,1.599466310873916,5.755049668277407,1.4650225342387346
0.4,187.44530938763762,187445309387637.62,1.5993596157694618,5.7554654032873795,1.4650306311128243
0.4,187.45781324391058,187457813243910.6,1.5992529348986124,5.7558811518383335,1.465038730353327
0.4,187.4703171001835,187470317100183.5,1.599146268258521,5.756296913940902,1.4650468319624768
0.4,187.48282095645644,187482820956456.44,1.5990396158463387,5.7567126896057195,1.4650549359425042
0.4,187.4953248127294,187495324812729.4,1.5989329776592196,5.757128478843417,1.4650630422956414
0.4,187.50782866900232,187507828669002.3,1.5988263536943188,5.7575442816646305,1.4650711510241203
0.4,187.52033252527528,187520332525275.28,1.59871974394879,5.757960098079991,1.4650792621301698
0.4,187.5328363815482,187532836381548.22,1.5986131484197892,5.75837592810013,1.4650873756160196
0.4,187.54534023782114,187545340237821.12,1.598506567104474,5.758791771735685,1.465095491483901
0.4,187.5578440940941,187557844094094.1,1.5984,5.759207628997286,1.4651036097360401
0.4,187.57034795036702,187570347950367.03,1.5982934471035266,5.759623499895566,1.4651117303746664
0.4,187.58285180663998,187582851806639.97,1.5981869084122118,5.7600393844411615,1.4651198534020071
0.4,187.5953556629129,187595355662912.9,1.5980803839232154,5.7604552826447,1.4651279788202878
0.4,187.60785951918584,187607859519185.84,1.5979738736336977,5.7608711945168185,1.465136106631736
0.4,187.6203633754588,187620363375458.78,1.5978673775408199,5.761287120068152,1.4651442368385779
0.4,187.63286723173172,187632867231731.72,1.5977608956417435,5.761703059309327,1.4651523694430366
0.4,187.64537108800465,187645371088004.66,1.5976544279336313,5.762119012250983,1.4651605044473381
0.4,187.6578749442776,187657874944277.6,1.5975479744136463,5.76253497890375,1.465168641853705
0.4,187.67037880055054,187670378800550.53,1.5974415350789528,5.762950959278261,1.4651767816643617
0.4,187.6828826568235,187682882656823.5,1.5973351099267155,5.76336695338515,1.4651849238815298
0.4,187.69538651309642,187695386513096.44,1.5972286989541005,5.763782961235052,1.4651930685074328
0.4,187.70789036936935,187707890369369.34,1.5971223021582737,5.764198982838596,1.4652012155442908
0.4,187.7203942256423,187720394225642.3,1.5970159195364018,5.764615018206418,1.4652093649943247
0.4,187.73289808191524,187732898081915.25,1.5969095510856535,5.765031067349149,1.4652175168597559
0.4,187.74540193818817,187745401938188.16,1.5968031968031973,5.765447130277424,1.4652256711428033
0.4,187.75790579446112,187757905794461.12,1.5966968566862014,5.765863207001877,1.465233827845686
0.4,187.77040965073405,187770409650734.06,1.5965905307318375,5.766279297533138,1.4652419869706228
0.4,187.782913507007,187782913507007.0,1.5964842189372754,5.766695401881842,1.465250148519831
0.4,187.79541736327994,187795417363279.94,1.5963779212996871,5.767111520058621,1.4652583124955287
0.4,187.80792121955287,187807921219552.88,1.5962716378162454,5.76752765207411,1.4652664788999326
0.4,187.82042507582582,187820425075825.8,1.5961653684841224,5.7679437979389405,1.465274647735258
0.4,187.83292893209875,187832928932098.75,1.5960591133004927,5.768359957663747,1.4652828190037215
0.4,187.8454327883717,187845432788371.72,1.5959528722625307,5.76877613125916,1.4652909927075368
0.4,187.85793664464464,187857936644644.62,1.5958466453674125,5.769192318735815,1.46529916884892
0.4,187.87044050091757,187870440500917.56,1.5957404326123132,5.769608520104345,1.4653073474300837
0.4,187.88294435719052,187882944357190.53,1.5956342339944098,5.770024735375382,1.465315528453241
0.4,187.89544821346345,187895448213463.47,1.5955280495108803,5.770440964559561,1.4653237119206053
0.4,187.90795206973638,187907952069736.38,1.5954218791589037,5.770857207667513,1.465331897834388
0.4,187.92045592600934,187920455926009.34,1.5953157229356578,5.771273464709871,1.4653400861968007
0.4,187.93295978228227,187932959782282.28,1.5952095808383233,5.77168973569727,1.4653482770100543
0.4,187.94546363855522,187945463638555.22,1.595103452864081,5.772106020640342,1.465356470276359
0.4,187.95796749482815,187957967494828.16,1.594997339010112,5.772522319549719,1.4653646659979243
0.4,187.97047135110108,187970471351101.1,1.594891239273598,5.772938632436034,1.4653728641769592
0.4,187.98297520737404,187982975207374.03,1.5947851536517228,5.773354959309925,1.4653810648156733
0.4,187.99547906364697,187995479063646.97,1.5946790821416696,5.77377130018202,1.4653892679162732
0.4,188.00798291991993,188007982919919.94,1.5945730247406225,5.774187655062955,1.4653974734809667
0.4,188.02048677619285,188020486776192.84,1.5944669814457675,5.77460402396336,1.465405681511961
0.4,188.03299063246578,188032990632465.78,1.5943609522542892,5.775020406893869,1.4654138920114606
0.4,188.04549448873874,188045494488738.75,1.5942549371633752,5.775436803865118,1.465422104981673
0.4,188.05799834501167,188057998345011.66,1.594148936170213,5.7758532148877375,1.4654303204248023
0.4,188.0705022012846,188070502201284.6,1.59404294927199,5.77626963997236,1.4654385383430524
0.4,188.08300605755755,188083006057557.56,1.5939369764658955,5.776686079129621,1.4654467587386282
0.4,188.09550991383048,188095509913830.47,1.5938310177491195,5.777102532370153,1.4654549816137328
0.4,188.10801377010344,188108013770103.44,1.5937250731188515,5.777518999704587,1.4654632069705675
0.4,188.12051762637637,188120517626376.38,1.5936191425722834,5.777935481143558,1.4654714348113358
0.4,188.1330214826493,188133021482649.3,1.5935132261066065,5.778351976697698,1.4654796651382378
0.4,188.14552533892225,188145525338922.25,1.5934073237190138,5.7787684863776425,1.4654878979534758
0.4,188.15802919519518,188158029195195.2,1.5933014354066988,5.779185010194021,1.4654961332592489
0.4,188.1705330514681,188170533051468.12,1.5931955611668551,5.779601548157469,1.4655043710577575
0.4,188.18303690774107,188183036907741.06,1.5930897009966778,5.78001810027862,1.465512611351201
0.4,188.195540764014,188195540764014.0,1.5929838548933626,5.780434666568105,1.4655208541417768
0.4,188.20804462028696,188208044620286.97,1.5928780228541057,5.78085124703656,1.4655290994316839
0.4,188.22054847655988,188220548476559.88,1.5927722048761046,5.781267841694614,1.465537347223119
0.4,188.2330523328328,188233052332832.8,1.5926664009565565,5.781684450552904,1.4655455975182792
0.4,188.24555618910577,188245556189105.78,1.5925606110926604,5.782101073622064,1.4655538503193615
0.4,188.2580600453787,188258060045378.7,1.5924548352816157,5.78251771091272,1.4655621056285595
0.4,188.27056390165166,188270563901651.66,1.5923490735206216,5.7829343624355145,1.4655703634480697
0.4,188.28306775792458,188283067757924.6,1.5922433258068802,5.783351028201074,1.4655786237800865
0.4,188.2955716141975,188295571614197.5,1.5921375921375924,5.783767708220033,1.4655868866268034
0.4,188.30807547047047,188308075470470.47,1.5920318725099603,5.784184402503026,1.4655951519904133
0.4,188.3205793267434,188320579326743.4,1.5919261669211873,5.784601111060684,1.4656034198731096
0.4,188.33308318301633,188333083183016.3,1.5918204753684775,5.785017833903642,1.4656116902770844
0.4,188.34558703928928,188345587039289.28,1.5917147978490342,5.785434571042532,1.4656199632045281
0.4,188.3580908955622,188358090895562.22,1.5916091343600638,5.7858513224879875,1.4656282386576331
0.4,188.37059475183517,188370594751835.16,1.5915034848987721,5.786268088250645,1.46563651663859
0.4,188.3830986081081,188383098608108.1,1.5913978494623657,5.786684868341131,1.4656447971495867
0.4,188.39560246438103,188395602464381.03,1.5912922280480524,5.787101662770078,1.465653080192813
0.4,188.40810632065399,188408106320654.0,1.5911866206530394,5.787518471544288,1.4656613657694857
0.4,188.4206101769269,188420610176926.9,1.5910810272745375,5.7879352946596585,1.465669653878064
0.4,188.43311403319984,188433114033199.84,1.5909754479097549,5.78835213211017,1.4656779445165178
0.4,188.4456178894728,188445617889472.8,1.5908698825559022,5.7887689838897955,1.465686237682818
0.4,188.45812174574573,188458121745745.72,1.5907643312101916,5.789185849992515,1.4656945333749376
0.4,188.47062560201869,188470625602018.7,1.5906587938698336,5.789602730412303,1.4657028315908478
0.4,188.48312945829161,188483129458291.62,1.590553270532042,5.7900196251431355,1.4657111323285217
0.4,188.49563331456454,188495633314564.53,1.5904477611940302,5.7904365341789905,1.4657194355859338
0.4,188.5081371708375,188508137170837.5,1.5903422658530115,5.790853457513843,1.4657277413610565
0.4,188.52064102711043,188520641027110.44,1.5902367845062015,5.79127039514167,1.4657360496518654
0.4,188.5331448833834,188533144883383.38,1.5901313171508158,5.791687347056447,1.465744360456335
0.4,188.54564873965631,188545648739656.3,1.5900258637840707,5.792104313252153,1.4657526737724413
0.4,188.55815259592924,188558152595929.25,1.5899204244031833,5.792521293722761,1.4657609895981598
0.4,188.5706564522022,188570656452202.2,1.5898149990053712,5.79293828846225,1.4657693079314678
0.4,188.58316030847513,188583160308475.12,1.5897095875878533,5.793355297464593,1.4657776287703415
0.4,188.59566416474806,188595664164748.06,1.5896041901478488,5.793772320723772,1.46578595211276
0.4,188.60816802102102,188608168021021.0,1.589498806682578,5.794189358233759,1.4657942779567006
0.4,188.62067187729394,188620671877293.94,1.589393437189261,5.794606409988533,1.4658026063001424
0.4,188.6331757335669,188633175733566.9,1.58928808166512,5.795023475982068,1.4658109371410644
0.4,188.64567958983983,188645679589839.84,1.5891827401073773,5.7954405562083435,1.4658192704774475
0.4,188.65818344611276,188658183446112.75,1.5890774125132558,5.79585765066133,1.4658276063072704
0.4,188.67068730238572,188670687302385.72,1.588972098879979,5.796274759335011,1.4658359446285154
0.4,188.68319115865864,188683191158658.66,1.5888667992047714,5.796691882223359,1.4658442854391633
0.4,188.6956950149316,188695695014931.6,1.5887615134848587,5.7971090193203505,1.4658526287371965
0.4,188.70819887120453,188708198871204.53,1.5886562417174663,5.797526170619964,1.4658609745205973
0.4,188.72070272747746,188720702727477.47,1.5885509838998213,5.797943336116173,1.4658693227873485
0.4,188.73320658375042,188733206583750.4,1.5884457400291507,5.7983605158029565,1.4658776735354342
0.4,188.74571044002334,188745710440023.34,1.5883405101026833,5.79877770967429,1.465886026762839
0.4,188.75821429629627,188758214296296.28,1.5882352941176472,5.799194917724151,1.4658943824675466
0.4,188.77071815256923,188770718152569.22,1.5881300920712726,5.799612139946512,1.4659027406475422
0.4,188.78322200884216,188783222008842.16,1.5880249039607897,5.800029376335353,1.4659111013008121
0.4,188.79572586511512,188795725865115.12,1.5879197297834293,5.800446626884652,1.4659194644253426
0.4,188.80822972138805,188808229721388.03,1.587814569536424,5.8008638915883814,1.4659278300191205
0.4,188.82073357766097,188820733577660.97,1.5877094232170057,5.801281170440519,1.4659361980801324
0.4,188.83323743393393,188833237433933.94,1.5876042908224075,5.8016984634350415,1.4659445686063666
0.4,188.84574129020686,188845741290206.88,1.5874991723498644,5.8021157705659245,1.465952941595812
0.4,188.85824514647982,188858245146479.8,1.5873940677966103,5.802533091827147,1.4659613170464576
0.4,188.87074900275275,188870749002752.75,1.5872889771598808,5.802950427212683,1.465969694956292
0.4,188.88325285902567,188883252859025.7,1.5871839004369126,5.803367776716509,1.4659780753233056
0.4,188.89575671529863,188895756715298.62,1.5870788376249423,5.803785140332602,1.4659864581454891
0.4,188.90826057157156,188908260571571.56,1.5869737887212076,5.804202518054939,1.4659948434208334
0.4,188.9207644278445,188920764427844.5,1.5868687537229467,5.804619909878456,1.466003231147573
0.4,188.93326828411745,188933268284117.44,1.5867637326273991,5.805037315804433,1.4660116213255439
0.4,188.94577214039037,188945772140390.38,1.5866587254318048,5.805454735836716,1.4660200139552308
0.4,188.95827599666333,188958275996663.34,1.5865537321334038,5.805872169979167,1.4660284090371223
0.4,188.97077985293626,188970779852936.25,1.5864487527294384,5.806289618235634,1.4660368065717033
0.4,188.9832837092092,188983283709209.2,1.58634378721715,5.806707080609979,1.4660452065594622
0.4,188.99578756548215,188995787565482.16,1.586238835593781,5.807124557106057,1.4660536090008847
0.4,189.00829142175508,189008291421755.06,1.586133897856576,5.807542047727725,1.4660620138964577
0.4,189.020795278028,189020795278028.0,1.5860289740027786,5.807959552478836,1.4660704212466673
0.4,189.03329913430096,189033299134300.97,1.5859240640296337,5.8083770713632505,1.4660788310519999
0.4,189.0458029905739,189045802990573.88,1.5858191679343876,5.808794604384822,1.4660872433129417
